treatment,diversity
cuttingL,60
cuttingL,57
cuttingL,67
cuttingL,58
cuttingL,61
cuttingM,64
cuttingM,67
cuttingM,74
cuttingM,63
cuttingM,70
cuttingH,87
cuttingH,84
cuttingH,69
cuttingH,85
cuttingH,85
